type,x1,y1,x2,y2
cabinet_15_33,425,558,539,611
cabinet_15_33,537,558,651,611
cabinet_15_33,538,558,652,611
cabinet_15_33,1199,1574,1313,1627
cabinet_15_33,1200,1574,1314,1627
cabinet_30_20,801,558,871,664
cabinet_30_20,348,1066,418,1172
cabinet_30_20,521,1066,591,1172
cabinet_30_26,871,558,957,664
cabinet_30_26,958,558,1044,664
cabinet_30_26,1724,1066,1810,1172
cabinet_30_26,1914,1066,2000,1172
cabinet_30_26,1558,1574,1644,1680
cabinet_30_30,244,1066,349,1171
cabinet_30_30,417,1066,522,1171
cabinet_30_30,1106,1066,1211,1171
cabinet_30_30,1809,1066,1914,1171
cabinet_30_30,2428,1066,2533,1171
cabinet_30_30,2532,1066,2637,1171
cabinet_30_30,2636,1066,2741,1171
cabinet_30_30,2739,1066,2844,1171
cabinet_30_30,258,1574,363,1679
cabinet_30_30,362,1574,467,1679
cabinet_30_30,604,1574,709,1679
cabinet_30_30,870,1574,975,1679
cabinet_30_30,922,1574,1027,1679
cabinet_30_30,1095,1574,1200,1679
cabinet_30_30,1453,1574,1558,1679
cabinet_30_30,1643,1574,1748,1679
cabinet_30_30,1978,1574,2083,1679
cabinet_30_30,2082,1574,2187,1679
cabinet_30_33,590,1066,704,1171
cabinet_30_33,703,1066,817,1171
cabinet_30_33,1210,1066,1324,1171
cabinet_30_33,1323,1066,1437,1171
cabinet_30_33,2000,1066,2114,1171
cabinet_30_33,2112,1066,2226,1171
cabinet_30_33,976,1574,1090,1679
